date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:05	7208/7208	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2002:03:04%20GMT	https://www.banesconline.com/mantis/Website/Login.aspx	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Login.html	(from )
22:03:06	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:04%20GMT	https://www.banesconline.com/robots.txt		(from )
22:03:06	894/894	---M--	200	added ('OK')	image/x-icon	etag:%2286e93f4494acd61:0%22	https://www.banesconline.com/mantis/Website/Images/favicon.ico	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/favicon.ico	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:06	5258/5258	---M-Z	200	added ('OK')	text/css	etag:%220c67678d51fd11:0%22	https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:06	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2280554b784087d91:0%22	https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:07	27839/27839	---M-Z	200	added ('OK')	application/javascript	etag:%220b7211ed5c6d91:0%22	https://www.banesconline.com/Mantis/WebSite/Shared/banesco.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Shared/banesco.js	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:08	2019/2019	---M--	200	added ('OK')	image/png	etag:%22b8a2ef40b78ed71:0%22	https://www.banesconline.com/mantis/Website/Images/logo_BanescOnline.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/logo_BanescOnline.png	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:09	143/143	---M--	302	error ('Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:07%20GMT	https://www.banesconline.com/mantis/Website/salir.aspx	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/salir.6.delayed	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:09	7208/7208	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2002:03:07%20GMT	https://www.banesconline.com/Mantis/WebSite/login.aspx	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/login-2.html	(from https://www.banesconline.com/mantis/Website/Login.aspx)
22:03:10	10540/10540	---M--	200	added ('OK')	image/png	etag:%22c8e4850fbf0d61:0%22	https://www.banesconline.com/mantis/Website/Images/GESTION-DE-CLAVES4.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/GESTION-DE-CLAVES4.png	(from https://www.banesconline.com/mantis/Website/Login.aspx)
